year,fluency,adequacy,relevance,faithfulness,coherence,grammaticality,naturalness,informativeness,accuracy,consistency,readability,overall_quality,simplicity,meaning_preservation,correctness,understandability,engagingness,humanlikeness,appropriateness
1952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1967,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1971,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1978,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
1982,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
1984,0.0,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.5555555555555556,0.0,0.0,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
1985,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
1986,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
1987,0.0,0.4,0.2,0.0,0.2,0.0,0.0,0.2,0.6,0.8,0.0,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0
1988,0.0,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285
1990,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1991,0.0,0.0,0.3333333333333333,0.2222222222222222,0.0,0.0,0.0,0.0,0.5555555555555556,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.375,0.375,0.125,0.0,0.25,0.0,0.125,0.125,0.0,0.0,0.0
1993,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.09090909090909091,0.5454545454545454,0.36363636363636365,0.0,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
1994,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.6,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.26666666666666666,0.26666666666666666,0.0,0.0,0.06666666666666667
1995,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.0625,0.375,0.1875,0.0625,0.0,0.0625,0.0,0.125,0.0,0.0,0.0,0.0625
1996,0.08,0.08,0.28,0.0,0.04,0.04,0.04,0.12,0.44,0.32,0.12,0.04,0.08,0.04,0.24,0.12,0.0,0.0,0.08
1997,0.0,0.11538461538461539,0.19230769230769232,0.0,0.23076923076923078,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.5769230769230769,0.34615384615384615,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.15384615384615385,0.0,0.0,0.11538461538461539
1998,0.0,0.029411764705882353,0.38235294117647056,0.029411764705882353,0.20588235294117646,0.0,0.058823529411764705,0.11764705882352941,0.47058823529411764,0.2647058823529412,0.08823529411764706,0.0,0.058823529411764705,0.0,0.20588235294117646,0.08823529411764706,0.0,0.0,0.029411764705882353
1999,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0,0.0,0.058823529411764705,0.5882352941176471,0.23529411764705882,0.0,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
2000,0.03333333333333333,0.06666666666666667,0.3,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.1,0.1,0.0,0.0,0.0
2001,0.27586206896551724,0.10344827586206896,0.08620689655172414,0.15517241379310345,0.13793103448275862,0.08620689655172414,0.06896551724137931,0.1724137931034483,0.6206896551724138,0.1896551724137931,0.08620689655172414,0.08620689655172414,0.10344827586206896,0.017241379310344827,0.10344827586206896,0.1206896551724138,0.0,0.0,0.034482758620689655
2002,0.11363636363636363,0.06818181818181818,0.11363636363636363,0.06818181818181818,0.1590909090909091,0.09090909090909091,0.0,0.045454545454545456,0.6590909090909091,0.22727272727272727,0.1590909090909091,0.06818181818181818,0.09090909090909091,0.0,0.09090909090909091,0.045454545454545456,0.0,0.0,0.022727272727272728
