year,likert,ranking,categories,span,best_worst_scaling,direct_assessment,post_editing
1952,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1967,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1969,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
1976,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666
1978,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0
1980,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,1.0
1981,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0
1982,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0
1983,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,1.0
1984,0.0,0.09722222222222221,0.0,0.0,0.0,0.0,0.9166666666666666
1985,0.05555555555555555,0.15277777777777776,0.0,0.0,0.0,0.0,0.8611111111111112
1986,0.05555555555555555,0.1638888888888889,0.0,0.0,0.0,0.0,0.8611111111111112
1987,0.05555555555555555,0.2333333333333333,0.0,0.0,0.0,0.0,0.8333333333333334
1988,0.0,0.17777777777777773,0.0,0.0,0.0,0.0,0.7555555555555555
1989,0.0,0.1111111111111111,0.047619047619047616,0.0,0.0,0.0,0.7079365079365078
1990,0.0,0.06666666666666667,0.047619047619047616,0.0,0.0,0.0,0.7523809523809524
1991,0.041666666666666664,0.06666666666666667,0.047619047619047616,0.0,0.0,0.0,0.844047619047619
1992,0.08333333333333333,0.06666666666666667,0.041666666666666664,0.0,0.0,0.0,0.7666666666666666
1993,0.08333333333333333,0.0,0.041666666666666664,0.0,0.0,0.0,0.7333333333333334
1994,0.041666666666666664,0.05128205128205129,0.041666666666666664,0.025641025641025644,0.0,0.0,0.7237179487179487
1995,0.0,0.1346153846153846,0.041666666666666664,0.025641025641025644,0.0,0.0,0.7862179487179487
1996,0.015873015873015872,0.15048840048840048,0.057539682539682536,0.025641025641025644,0.0,0.0,0.7433608058608058
1997,0.015873015873015872,0.13429406850459483,0.09262740183792816,0.0,0.0,0.0,0.6542919799498746
1998,0.03253968253968254,0.06762740183792815,0.10096073517126147,0.0,0.0,0.0,0.500125313283208
1999,0.04047619047619048,0.09937343358395989,0.10889724310776942,0.0,0.0,0.0,0.45250626566416036
2000,0.04047619047619048,0.0945887445887446,0.07380952380952381,0.0,0.0,0.0,0.38073593073593076
2001,0.08521303258145363,0.11300979722032352,0.023809523809523808,0.0,0.0,0.0,0.3693324219640009
2002,0.10307017543859649,0.13483519404572036,0.013888888888888888,0.0,0.0,0.0,0.32369750132908026
2003,0.14372058194266155,0.1289224076451291,0.04640921409214092,0.0,0.0,0.0,0.31630651832834117
2004,0.13109756097560976,0.11822493224932247,0.06266937669376693,0.0,0.0,0.0,0.2679539295392954
2005,0.1329091551785083,0.05602686461647225,0.05602686461647225,0.0,0.0,0.0,0.2287027218098268
2006,0.12302797944367404,0.07266226173967426,0.05427577018245099,0.0,0.0,0.0,0.1559072246240857
2007,0.11591415830546266,0.07142016598538338,0.061163755728973125,0.009259259259259259,0.0,0.0,0.182329988851728
2008,0.1108974358974359,0.08981481481481483,0.08383190883190883,0.013532763532763531,0.0,0.0,0.20982905982905983
2009,0.11070924488355682,0.09160262944666615,0.08670182179356493,0.0165908675082987,0.0,0.0030581039755351682,0.2850113698737552
2010,0.0948823714985439,0.11238212987732937,0.11264928088055888,0.01249956690537019,0.0,0.0030581039755351682,0.32570904429235986
2011,0.06895216135780743,0.15691654283279496,0.11782247026427457,0.01574485962434712,0.0,0.0055643696396955695,0.35051464804533206
2012,0.08138187429062779,0.18041133090290118,0.12181773513553827,0.021647329125514463,0.0,0.004298380359500903,0.3794679872975763
2013,0.0871994366886761,0.17931422236133374,0.11369047054471644,0.020203765255031012,0.0,0.004298380359500903,0.395101784014912
2014,0.10784346381811105,0.15811192752471612,0.10387921254188948,0.03480187189604112,0.0,0.001792114695340502,0.4459635355501483
2015,0.10528578556359597,0.13063863525342825,0.09537101753197195,0.05496751201157162,0.0,0.0,0.43348832936996234
2016,0.10177657803204206,0.14706735447544358,0.08995823044320721,0.07050237648498359,0.0,0.0044444444444444444,0.4138235249006887
2017,0.09692366266895108,0.14602449393997083,0.09736150770988007,0.07452926370116547,0.0,0.03494553376906318,0.3463680013537238
2018,0.0858315554200955,0.13309627823495548,0.10795895560296657,0.05749286012620361,0.003454231433506045,0.0522166909365934,0.2862207773149559
2019,0.08935007393861401,0.09550368564236288,0.10740340004741102,0.06490026753361101,0.005120898100172712,0.06610557982548229,0.29622077731495594
2020,0.10345187627571047,0.08393703878159836,0.12805699481865285,0.07512011304757417,0.00996938294865756,0.07318024807662114,0.29344795101271787
2021,0.117245670995671,0.09374458874458874,0.1448809523809524,0.10172077922077921,0.008003246753246753,0.09162337662337662,0.3101948051948052
2022,0.11718819973130316,0.09506642782504852,0.15298440065681443,0.12677825048514704,0.006336580086580087,0.12501418122107777,0.300884460367219
2023,0.12779426033736377,0.08900582176444245,0.1678328855052993,0.15102067472757127,0.005275974025974027,0.12152933273622929,0.2743693088520675
2024,0.16011119654580944,0.10360600145896177,0.1678890400425859,0.18465724256225233,0.003787878787878788,0.14556347469489955,0.2448320222393092
2025,0.18845403951281514,0.14296761561591206,0.1847376301360284,0.22885636602210513,0.008584041857423152,0.13220864132021998,0.17690016083188334
