year,lang_group,sum,count,mean
2010,english_only,13,23,0.5652173913043478
2010,multilingual,49,178,0.2752808988764045
2010,non_english_mono,8,18,0.4444444444444444
2011,english_only,14,21,0.6666666666666666
2011,multilingual,49,204,0.24019607843137256
2011,non_english_mono,5,17,0.29411764705882354
2012,english_only,25,35,0.7142857142857143
2012,multilingual,68,220,0.3090909090909091
2012,non_english_mono,12,19,0.631578947368421
2013,english_only,15,21,0.7142857142857143
2013,multilingual,67,203,0.33004926108374383
2013,non_english_mono,11,21,0.5238095238095238
2014,english_only,18,32,0.5625
2014,multilingual,74,223,0.33183856502242154
2014,non_english_mono,8,18,0.4444444444444444
2015,english_only,17,28,0.6071428571428571
2015,multilingual,69,174,0.39655172413793105
2015,non_english_mono,8,15,0.5333333333333333
2016,english_only,25,42,0.5952380952380952
2016,multilingual,86,214,0.40186915887850466
2016,non_english_mono,17,32,0.53125
2017,english_only,28,40,0.7
2017,multilingual,69,191,0.3612565445026178
2017,non_english_mono,8,18,0.4444444444444444
2018,english_only,47,64,0.734375
2018,multilingual,77,266,0.2894736842105263
2018,non_english_mono,14,24,0.5833333333333334
2019,english_only,51,91,0.5604395604395604
2019,multilingual,81,316,0.2563291139240506
2019,non_english_mono,6,21,0.2857142857142857
2020,english_only,75,109,0.6880733944954128
2020,multilingual,130,383,0.3394255874673629
2020,non_english_mono,28,54,0.5185185185185185
2021,english_only,79,128,0.6171875
2021,multilingual,106,352,0.30113636363636365
2021,non_english_mono,21,44,0.4772727272727273
2022,english_only,51,80,0.6375
2022,multilingual,60,198,0.30303030303030304
2022,non_english_mono,16,31,0.5161290322580645
2023,english_only,38,61,0.6229508196721312
2023,multilingual,42,120,0.35
2023,non_english_mono,6,13,0.46153846153846156
2024,english_only,26,38,0.6842105263157895
2024,multilingual,53,136,0.3897058823529412
2024,non_english_mono,4,12,0.3333333333333333
2025,english_only,8,22,0.36363636363636365
2025,multilingual,47,120,0.39166666666666666
2025,non_english_mono,13,19,0.6842105263157895
