paper_id,year,source,likert,ranking,categories,span,best_worst_scaling,direct_assessment,post_editing
J19-3004,2019,full_text,1,1,1,1,0,1,1
2021.wmt-1.1,2021,full_text,1,1,0,1,0,1,1
W16-2301,2016,full_text,1,1,1,1,0,1,1
2025.acl-long.1002,2025,full_text,1,1,0,1,0,0,0
2023.acl-long.69,2023,full_text,0,1,1,0,0,0,0
2021.wmt-1.57,2021,full_text,0,1,0,0,0,1,1
2022.tacl-1.47,2022,full_text,0,0,0,1,0,0,0
J09-4008,2009,full_text,1,0,0,0,0,0,1
2025.naacl-long.548,2025,full_text,0,1,0,1,1,0,1
2023.acl-long.324,2023,full_text,0,0,0,1,0,1,1
2021.tacl-1.87,2021,full_text,1,0,1,1,0,1,1
2006.amta-papers.25,2006,full_text,0,1,0,0,0,0,1
2021.cl-4.28,2021,full_text,1,0,0,0,0,1,0
2021.acl-long.566,2021,full_text,0,0,1,0,0,0,1
2020.acl-main.64,2020,full_text,1,0,0,0,0,0,0
E06-1032,2006,full_text,0,0,0,0,0,0,1
W04-1013,2004,full_text,1,0,0,0,0,0,0
2023.acl-long.795,2023,full_text,0,0,0,1,0,1,0
W13-2201,2013,full_text,1,1,1,0,0,0,1
2024.acl-long.110,2024,full_text,1,1,0,1,0,0,0
2020.emnlp-main.213,2020,full_text,0,0,0,1,0,1,1
N10-1080,2010,full_text,0,1,0,0,0,0,0
2025.acl-long.351,2025,full_text,0,0,1,1,0,1,0
2022.emnlp-main.649,2022,full_text,0,0,0,1,0,1,0
2020.eval4nlp-1.5,2020,full_text,0,0,0,0,0,0,0
W12-2601,2012,full_text,0,0,0,0,0,0,0
2020.acl-main.704,2020,full_text,1,0,0,0,0,1,0
W10-1703,2010,full_text,0,1,1,0,0,0,1
2014.amta-researchers.20,2014,full_text,0,0,0,0,0,0,1
2012.amta-papers.6,2012,full_text,1,0,0,0,0,0,1
2020.emnlp-main.742,2020,full_text,0,0,0,0,0,0,0
2021.emnlp-main.100,2021,full_text,1,1,0,0,0,0,0
2024.tacl-1.69,2024,full_text,0,0,0,1,0,1,1
W09-0441,2009,full_text,1,0,0,0,0,0,1
2021.wmt-1.59,2021,full_text,0,0,0,1,0,0,1
2020.acl-main.448,2020,full_text,0,0,0,0,0,1,0
2003.mtsummit-papers.9,2003,full_text,1,1,0,0,0,0,0
